Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
209	Spectrogram 1	1	2031.245	2038.379	1011.5	6069	Bird	
210	Spectrogram 1	1	2038.298	2040.29	0	11104.5	Buzz	
211	Spectrogram 1	1	2040.859	2042.261	0	7540.2	Buzz	
212	Spectrogram 1	1	2047.172	2053.818	1747.1	7356.3	Bird	low
213	Spectrogram 1	1	2053.31	2055.363	0	5977	Buzz	
214	Spectrogram 1	1	2055.485	2101.801	643.7	7620.9	Bird	low
215	Spectrogram 1	1	2070.111	2071.717	0	13517.2	Buzz	
216	Spectrogram 1	1	2076.382	2078.715	0	3582.1	Buzz	
217	Spectrogram 1	1	2090.847	2093.204	0	3494.3	Buzz	
218	Spectrogram 1	1	2091.069	2103.386	1478.7	7393.4	Bird	low
219	Spectrogram 1	1	2106.322	2121.139	551.7	6712.6	Bird	low
220	Spectrogram 1	1	2111.851	2113.111	0	5793.1	Buzz	
221	Spectrogram 1	1	2117.371	2122.839	0	4781.6	Buzz	
222	Spectrogram 1	1	2122.351	2132.839	1103.4	7080.5	Bird	low
223	Spectrogram 1	1	2125.501	2126.396	2023	5977	Bird	
224	Spectrogram 1	1	2125.969	2127.595	0	9011.5	Buzz	
225	Spectrogram 1	1	2135.42	2138.347	0	7632.2	Buzz	
226	Spectrogram 1	1	2138.022	2150.176	643.7	6620.7	Bird	low
227	Spectrogram 1	1	2140.18	2145.038	0	4781.6	Buzz	
228	Spectrogram 1	1	2141.722	2218.185	2972.5	15412.8	Other animal	
229	Spectrogram 1	1	2147.477	2149.631	0	4046	Buzz	
230	Spectrogram 1	1	2153.717	2156.359	0	14344.8	Buzz	
231	Spectrogram 1	1	2155.081	2167.347	459.8	5241.4	Bird	
232	Spectrogram 1	1	2168.912	2173.261	367.8	4689.7	Bird	
233	Spectrogram 1	1	2170.192	2173.851	0	4046	Buzz	
234	Spectrogram 1	1	2175.091	2184.319	735.6	5425.3	Bird	
235	Spectrogram 1	1	2183.038	2216.818	0	6252.9	Buzz	
236	Spectrogram 1	1	2187.875	2218.709	1011.5	5977	Bird	low
237	Spectrogram 1	1	2217.05	2247.9	0	9655.2	Buzz	
238	Spectrogram 1	1	2223.81	2226.859	1379.3	7816.1	Bird	low
239	Spectrogram 1	1	2230.546	2237.091	1103.4	7632.2	Bird	
240	Spectrogram 1	1	2242.53	2255.788	1195.4	7264.4	Bird	
241	Spectrogram 1	1	2252.758	2288.795	4844	15743.1	Other animal	
242	Spectrogram 1	1	2258.005	2266.278	735.6	8183.9	Bird	low
243	Spectrogram 1	1	2270.749	2276.054	367.8	6988.5	Bird	
244	Spectrogram 1	1	2275.757	2278.298	0	9655.2	Buzz	
245	Spectrogram 1	1	2280.229	2288.481	367.8	5701.1	Bird	low
246	Spectrogram 1	1	2282.627	2288.44	0	4413.8	Buzz	
